ID,NAME,YEAR_EST,STATUS,PROVINCE,PA_AREA
1,Jasper,1907,Legal,AB,11238.37566
2,WHITEMUD CONSERVATION RESERVE,2003,Legal,ON,184.989129
3,Bowron Lake Park,1961,Legal,BC,1397.702503
4,Kokanee Glacier Park,1922,Legal,BC,319.086966
5,Bob Creek Wildland,1999,Legal,AB,208.097721
6,Birch Island Park Reserve,2000,Interim,MB,808.752122
7,Chitek Lake Park Reserve,1999,Interim,MB,995.557015
8,Purcell Wilderness Conservancy Park,1974,Legal,BC,2009.20165
9,R_serve _cologique de la Matamec,1995,Legal,QC,184.649199
10,R_serve _cologique projet_e de la Matamec (partie nord),2002,Interim,QC,542.129095
11,WOODLAND CARIBOU PROVINCIAL PARK,1983,Legal,ON,4567.743029
12,Beehive,1987,Legal,AB,67.446132
13,Little Birch Wildlife Management Area,2000,Legal,MB,209.95251
14,Wapawekka Hills Representative Area,1999,Legal,SK,679.077906
15,EAGLE - SNOWSHOE CONSERVATION RESERVE,2003,Legal,ON,356.303626
16,LITTLE CURRENT RIVER PROVINCIAL PARK,1989,Legal,ON,96.817295
17,Sturgeon Bay Park Reserve,2001,Interim,MB,144.889704
18,R_serve de biodiversit_ projet_e des drumlins du lac Cl_rac,2005,Interim,QC,375.527969
19,Grand Rapids Wildland,2000,Legal,AB,263.479495
20,GRAVEL RIVER CONSERVATION RESERVE,2002,Legal,ON,466.658218
21,Grizzly Ridge Wildland,1999,Legal,AB,107.108017
22,Kianuko Park,1995,Legal,BC,116.594797
23,Du Lac-Dana,2008,Interim,QC,347.425572
24,FUSHIMI LAKE PROVINCIAL PARK,1979,Legal,ON,53.106073
25,WILDCAT HILL PROVINCIAL PARK,1971,Legal,SK,221.696618
26,Kootenay National Park of Canada,1920,Legal,BC,1405.525335
27,Hay-Zama Lakes Wildland,1999,Legal,AB,486.500285
28,Elbow-Sheep Wildland,1995,Legal,AB,801.367518
29,ST. RAPHAEL LAKE PROVINCIAL PARK (WATERWAY CLASS),2003,Legal,ON,905.409535
30,Graystokes Park,2001,Legal,BC,119.637657
31,Monkman Park,1981,Legal,BC,628.956523
32,NAKINA MORAINE PROVINCIAL PARK,1994,Legal,ON,53.377136
33,Whiteswan Lake Park,1978,Legal,BC,23.712183
34,Valhalla Park,1983,Legal,BC,500.380045
35,CORAL RAPIDS WETLAND CONSERVATION RESERVE,2005,Legal,ON,61.088045
36,Peter Lougheed,1977,Legal,AB,513.877591
37,Primrose Lake Provincial Ecological Reserve,1998,Legal,SK,193.921599
38,ATTWOOD RIVER CONSERVATION RESERVE,2004,Legal,ON,213.27281
39,Wood Buffalo,1922,Legal,AB,36270.04213
40,BISCOTASI LAKE PROVINCIAL PARK (NATURAL ENVIRONMENT CLASS),2001,Legal,ON,122.913495
41,Winagami Lake,1956,Legal,AB,65.42679
42,ONAPING LAKE CONSERVATION RESERVE,2002,Legal,ON,167.101571
43,SEDGMAN LAKE PROVINCIAL NATURE RESERVE,1985,Legal,ON,57.645754
44,Banff,1887,Legal,AB,6860.582607
45,Bow Valley,1959,Legal,AB,33.75752
46,DUCK MOUNTAIN PROVINCIAL PARK,1931,Legal,SK,268.752694
47,Chinchaga Wildland,1999,Legal,AB,802.865288
48,OGOKI RIVER PROVINCIAL PARK (WATERWAY CLASS),2004,Legal,ON,232.682494
49,Bow Valley Wildland,1998,Legal,AB,373.007797
50,Height of the Rockies Park,1985,Legal,BC,541.896593
51,Bell and Steeprock Canyons Protected Area,2004,Legal,MB,112.781689
52,Wells Gray Park,1939,Legal,BC,5407.083884
53,Glacier National Park of Canada,1886,Legal,BC,1365.659379
54,Seager Wheeler Lake Representative Area,2002,Legal,SK,1771.885519
55,Granby Park,1995,Legal,BC,411.738316
56,HILLIARDTON MARSH CONSERVATION RESERVE,2002,Legal,ON,55.061437
57,AGASSIZ PEATLANDS PROVINCIAL PARK (NATURE RESERVE CLASS),2003,Legal,ON,54.223591
58,Peace River Wildland,2001,Legal,AB,245.779161
59,Gladstone Park,1995,Legal,BC,394.522956
60,CHAPLEAU-NEMEGOSENDA RIVER PROVINCIAL PARK (WATERWAY CLASS),2005,Legal,ON,177.343324
61,Sheep River,2001,Legal,AB,61.925352
62,Sulphur Gates,2006,Legal,AB,10.898642
63,R_serve de biodiversit_ projet_e des Dunes-de-la-Rivière-Attic,2007,Interim,QC,77.676065
64,Eneas Lakes Park,1968,Legal,BC,10.357704
65,R_serve de biodiversit_ projet_e Albanel-T_miscamie-Otish,2002,Interim,QC,12174.78055
66,OTTERTOOTH CONSERVATION RESERVE,2003,Legal,ON,287.952241
67,Top of the World Park,1973,Legal,BC,87.674274
68,Maxhamish Lake Protected Area,2001,Legal,BC,269.112013
69,R_serve aquatique projet_e de la Vall_e de la rivière Sainte-Marguerite,2003,Interim,QC,293.171572
70,Chasm Park,1940,Legal,BC,31.477335
71,Cold Lake,1995,Legal,AB,58.052924
72,CHINIGUCHI WATERWAY PROVINCIAL PARK (WATERWAY CLASS),2006,Legal,ON,93.764516
73,Gipsy Lake Wildland,2000,Legal,AB,358.453372
74,Carrot River Representative Area,2004,Legal,SK,95.016035
75,Monashee Park,1962,Legal,BC,226.628135
76,Dunn Peak Park,1996,Legal,BC,195.673754
